Player, Team, 17-18, 18-19, 19-20,  20-21, 21-22, 22-23, Gtd,
Quinn Cook, ATL,100000,0,0,0,0,0,100000, 
Rade Zagorac, MEM,950000,1378242,0,0,0,0,2328242, 
Rajon Rondo, NOP,6300000,0,0,0,0,0,6300000, 
Rakeem Christmas, IND,172552,0,0,0,0,0,172552, 
Ramon Sessions, NYK,2328652,0,0,0,0,0,2328652, 
Rashad Vaughn, NOP,1889040,0,0,0,0,0,1889040, 
Raul Neto, UTA,1471382,0,0,0,0,0,1471382, 
Raymond Felton, OKC,2328652,0,0,0,0,0,2328652, 
Reggie Bullock, DET,2500000,2500000,0,0,0,0,2500000, 
Reggie Jackson, DET,16000000,17043478,18086956,0,0,0,51130434, 
Richard Jefferson, DEN,5000000,0,0,0,0,0,5000000, 
Richaun Holmes, PHI,1471382,1600520,0,0,0,0,1471382, 
Ricky Rubio, UTA,14275000,14975000,0,0,0,0,29250000, 
Robert Covington, PHI,16698103,10464092,11301219,12138345,12975471,0,63577230, 
Robin Lopez, CHI,13788500,14357750,0,0,0,0,28146250, 
Rodney Hood, CLE,2386864,0,0,0,0,0,2386864, 
Rodney McGruder, MIA,1312611,1544951,0,0,0,0,1312611, 
Ron Baker, NYK,4328000,4544400,0,0,0,0,4328000, 
Rondae Hollis-Jefferson, BRK,1471382,2470357,0,0,0,0,3941739, 
Ronnie Price, OKC,2442455,0,0,0,0,0,2442455, 
Royce O'Neale, UTA,815615,1378242,1618520,0,0,0,815615, 
Rudy Gay, SAS,8406000,8826300,0,0,0,0,8406000, 
Rudy Gobert, UTA,21974719,23491573,25008427,26525281,0,0,97000000, 
Russell Westbrook, OKC,28530608,35350000,38178000,41006000,43848000,0,186912608, 
Ryan Anderson, HOU,19578455,20421546,21264635,0,0,0,61264636, 
Salah Mejri, DAL,1471382,0,0,0,0,0,1471382, 
Sam Dekker, LAC,1794600,2760095,0,0,0,0,4554695, 
Sean Kilpatrick,MIL,2000000,0,0,0,0,0,2000000, 
Semi Ojeleye, BOS,1291892,1378242,1618520,1752950,0,0,2193857, 
Serge Ibaka, TOR,20061729,21666667,23271604,0,0,0,65000000, 
Seth Curry, DAL,3028410,0,0,0,0,0,3028410, 
Shabazz Muhammad, MIN,1577230,1795015,0,0,0,0,1577230, 
Shabazz Napier, POR,2361360,0,0,0,0,0,2361360, 
Shane Larkin, BOS,1524305,0,0,0,0,0,1524305, 
Shaun Livingston, GSW,7692308,8307692,7692308,0,0,0,18000000, 
Sheldon Mac, ATL,1312611,0,0,0,0,0,1312611, 
Shelvin Mack, ORL,6000000,6000000,0,0,0,0,6000000, 
Sindarius Thornwell, LAC,815615,1378242,1618520,0,0,0,2193857, 
Skal Labissiere, SAC,1312611,1544951,2338847,0,0,0,2857562, 
Solomon Hill, NOP,12236535,12752928,13258781,0,0,0,38248244, 
Spencer Dinwiddie, BRK,1524305,1656092,0,0,0,0,1524305, 
Spencer Hawes, MIL,6021175,0,0,0,0,0,6021175, 
Stanley Johnson, DET,3097800,3940402,0,0,0,0,7038202, 
Stephen Curry, GSW,34682550,37457154,40231758,43006362,45780966,0,201158790, 
Stephen Zimmerman, LAL,1312611,0,0,0,0,0,0, 
Sterling Brown, MIL,815615,1378242,1618520,0,0,0,2193857, 
Steven Adams, OKC,22471910,24157303,25842697,27528090,0,0,100000000, 
T.J. Leaf, IND,2028360,2407560,2813280,4326825,0,0,4435920, 
T.J. McConnell, PHI,1471382,1600520,0,0,0,0,1471382, 
T.J. Warren, PHO,3152931,11750000,10810000,11750000,12690000,0,50152931, 
Taj Gibson, MIN,14000000,14000000,0,0,0,0,28000000, 
Tarik Black, HOU,3290000,0,0,0,0,0,3290000, 
Taurean Waller-Prince, ATL,2422560,2526840,3481986,0,0,0,4949400, 
Terrance Ferguson, OKC,1785000,2118840,2475840,3944013,0,0,3903840, 
Terrence Ross, ORL,10500000,10500000,0,0,0,0,21000000, 
Terry Rozier, BOS,1988520,3050390,0,0,0,0,5038910, 
Thabo Sefolosha, UTA,5250000,5250000,0,0,0,0,5250000, 
Thaddeus Young, IND,14796348,13764045,0,0,0,0,14796348, 
Thomas Bryant, LAL,815615,1378242,0,0,0,0,815615, 
Thon Maker, MIL,2684160,2799720,3569643,0,0,0,5483880, 
Tibor Pleiss, PHI,500000,0,0,0,0,0,500000, 
Tim Duncan, SAS,1881250,1881250,0,0,0,0,3762500, 
Tim Frazier, WAS,2000000,0,0,0,0,0,2000000, 
Tim Hardaway, NYK,16500000,17325000,18150000,18975000,0,0,51975000, 
Timofey Mozgov, BRK,15280000,16000000,16720000,0,0,0,48000000, 
Timothe Luwawu-Cabarrot, PHI,1386600,1544951,2529684,0,0,0,2931551, 
Tobias Harris, LAC,16000000,14800000,0,0,0,0,30800000, 
Tomas Satoransky, WAS,3000000,3129187,0,0,0,0,6129187, 
Tony Allen, CHI,2116955,0,0,0,0,0,2116955, 
Tony Bradley, UTA,1414920,1679520,1962360,3542060,0,0,3094440, 
Tony Parker, SAS,15453126,0,0,0,0,0,15453126, 
Tony Snell, MIL,9821429,10607143,11392857,12178571,0,0,31821429, 
Treveon Graham, CHO,1312611,0,0,0,0,0,1312611, 
Trevor Ariza, HOU,7420912,0,0,0,0,0,7420912, 
Trevor Booker, PHI,9125000,0,0,0,0,0,9125000, 
Trey Burke, NYK,784160,1795015,0,0,0,0,784160, 
Trey Lyles, DEN,2441400,3364249,0,0,0,0,5805649, 
Tristan Thompson, CLE,16400000,17469565,18539130,0,0,0,52408695, 
Troy Daniels, PHO,3408520,3258540,0,0,0,0,6667060, 
Troy Williams, HOU,1471382,1544951,1676735,0,0,0,2085087, 
Tyler Cavanaugh, ATL,679919,1378242,0,0,0,0,729919, 
Tyler Dorsey, ATL,815615,1378242,0,0,0,0,2193857, 
Tyler Ennis, LAL,1524305,1656092,0,0,0,0,1524305, 
Tyler Johnson, MIA,5881260,19245370,19245370,0,0,0,25126630, 
Tyler Lydon, DEN,1579440,1874640,2190720,0,0,0,3454080, 
Tyler Ulis, PHO,1312611,1544951,1676735,0,0,0,1312611, 
Tyler Zeller, MIL,1709538,1933941,0,0,0,0,1709538, 
Tyreke Evans, MEM,3290000,0,0,0,0,0,3290000, 
Tyson Chandler, PHO,13000000,13585000,0,0,0,0,26585000, 
Tyus Jones, MIN,1471382,2444053,0,0,0,0,3915435, 
Udonis Haslem, MIA,2328652,0,0,0,0,0,2328652, 
V.J. Beachem, LAL,50000,0,0,0,0,0,50000, 
Vander Blue, LAL,50000,0,0,0,0,0,50000, 
Victor Oladipo, IND,21000000,21000000,21000000,21000000,0,0,84000000, 
Vince Carter, SAC,8000000,0,0,0,0,0,8000000, 
Vince Hunter, MEM,50000,0,0,0,0,0,50000, 
Wade Baldwin, MEM,1874400,0,0,0,0,0,1874400, 
Wayne Ellington, MIA,6270000,0,0,0,0,0,6270000, 
Wayne Selden, MEM,1312611,1544951,0,0,0,0,2085087, 
Wesley Iwundu, ORL,1050000,1378242,1618520,0,0,0,2428242, 
Wesley Johnson, LAC,5881260,6134000,0,0,0,0,5881260, 
Wesley Matthews, DAL,17884176,18622514,0,0,0,0,17884176, 
Will Barton, DEN,3533333,0,0,0,0,0,3533333, 
Willie Cauley-Stein, SAC,3704160,4696875,0,0,0,0,8401035, 
Willie Reed, CHI,1577230,0,0,0,0,0,1577230, 
Willy Hernangomez, CHO,1435750,1544951,1701735,0,0,0,2980701, 
Wilson Chandler, DEN,12016854,12800562,0,0,0,0,12016854, 
Yakuba Ouattara, BRK,50000,0,0,0,0,0,50000, 
Yogi Ferrell, DAL,1312611,0,0,0,0,0,1312611, 
Zach Collins, POR,3057240,3628920,4240200,5406255,0,0,6686160, 
Zach LaVine, CHI,3202217,0,0,0,0,0,3202217, 
Zach Randolph, SAC,12307692,11692308,0,0,0,0,24000000, 
Zaza Pachulia, GSW,3477600,0,0,0,0,0,3477600, 
Zhou Qi, HOU,815615,1378242,1618520,1752950,0,0,815615, 
