Greg Monroe,C,27,BOS,28,586,19.5,0.602,0,0.285,11.4,9.7,18.7,16.9,1.6,1,17.6,20.1,1,0.5,1.5,0.123,0.1,0.8,0.9,0.4,22884176,0,0,0,0,0,22884176,0,0,2,6,164
Guerschon Yabusele,PF,22,BOS,22,110,12,0.542,0.688,0.281,12.1,9.7,15.4,8.2,0.5,0.8,14.3,17.1,0.1,0.2,0.3,0.118,-0.5,-1,-1.5,0,2247480,2667600,3117240,4781846,0,0,4915080,0,0,2,2,165
Jabari Bird,SG,23,BOS,4,22,6,0.403,0.5,1.25,0,9.7,5,6.2,2.3,0,0,12.6,0,0,0,0.061,-4.6,0,-4.6,0,75000,0,0,0,0,0,75000,0,0,2,1,184
Jaylen Brown,SF,21,BOS,53,1669,12.7,0.549,0.403,0.277,3.3,9.7,9.3,8.1,1.6,1,11.9,20.7,0.5,2.7,3.2,0.093,-1.1,0.8,-0.2,0.7,4956480,5169960,6534829,0,0,0,10126440,0,0,3,7,212
Jayson Tatum,SF,19,BOS,58,1796,15,0.593,0.301,0.332,2.5,9.7,9.1,7.2,1.5,2.1,10.5,18.5,2.4,3.1,5.5,0.147,-0.6,1.7,1.1,1.4,5645400,6700800,7830000,9897120,0,0,12346200,0,0,3,7,213
Kadeem Allen,PG,25,BOS,7,27,-1.8,0.322,0.5,0.667,4.1,9.7,6.1,5,1.9,0,27.9,17.8,-0.1,0,-0.1,-0.144,-10,-0.3,-10.3,-0.1,75000,0,0,0,0,0,75000,0,0,2,1,259
Kyrie Irving,PG,25,BOS,52,1699,24.4,0.6,0.362,0.246,1.9,9.7,6,29.9,1.6,0.8,10.1,31.2,5.2,2.5,7.7,0.218,6.5,-0.7,5.8,3.4,18868625,20099188,21329750,0,0,0,38967813,0,0,2,9,286
Marcus Morris,PF,28,BOS,34,834,13.8,0.524,0.377,0.248,4,9.7,11.7,8.3,1.1,1,9.4,23.3,0.3,1.4,1.7,0.097,-1.9,-0.4,-2.2,0,5000000,5375000,0,0,0,0,10375000,0,0,2,6,317
Marcus Smart,SG,23,BOS,46,1393,10,0.467,0.471,0.246,2.9,9.7,6.4,23,2.1,1.3,18.5,19.6,-0.9,2.3,1.3,0.045,-2.2,1.4,-0.8,0.4,4538020,0,0,0,0,0,4538020,0,0,3,9,319
Semi Ojeleye,PF,23,BOS,51,722,4.3,0.443,0.769,0.192,3.8,9.7,7.7,2.3,1,0.2,9,9.6,-0.2,0.9,0.7,0.047,-3.8,0,-3.7,-0.3,1291892,1378242,1618520,1752950,0,0,2193857,0,0,3,3,405
Shane Larkin,PG,25,BOS,37,428,8.9,0.49,0.398,0.179,1.6,9.7,5.6,14.9,1.5,0.4,11.4,15.7,0.1,0.6,0.7,0.075,-3.1,-0.3,-3.4,-0.2,1524305,0,0,0,0,0,1524305,0,0,1,2,409
Terry Rozier,PG,23,BOS,58,1401,14.8,0.515,0.495,0.177,3.7,9.7,10.3,15.3,2.2,0.7,8.3,19.7,1.3,2.5,3.8,0.131,0.3,1.4,1.7,1.3,1988520,3050390,0,0,0,0,5038910,0,0,2,6,427
Allen Crabbe,SG,25,BRK,53,1552,10.8,0.536,0.641,0.161,1.3,14.4,7.8,8.4,0.9,1,9.1,18.5,0.7,1.1,1.7,0.054,-0.4,-0.9,-1.3,0.3,19332500,18500000,18500000,0,0,0,37832500,0,0,2,6,17
Caris LeVert,SF,23,BRK,50,1306,13.5,0.518,0.339,0.273,3.1,9.7,7.7,25.2,2.1,0.9,17.5,22.5,0,1.2,1.2,0.045,-0.9,0.2,-0.7,0.4,1632480,1702800,2625718,0,0,0,3335280,0,0,2,4,57
D'Angelo Russell,PG,21,BRK,23,544,14.5,0.501,0.331,0.241,2.9,9.7,8.6,34.9,1.5,0.7,18.1,34.5,-0.7,0.4,-0.3,-0.026,-0.3,-0.9,-1.3,0.1,5562360,7019698,0,0,0,0,12582058,0,0,2,5,76
Dante Cunningham,SF,30,BRK,52,1137,8.6,0.525,0.48,0.159,5.2,9.7,9.6,3.2,1.2,1.2,7.3,10.1,0.6,0.8,1.4,0.059,-1.8,-0.3,-2.1,0,2300000,0,0,0,0,0,2300000,0,0,2,3,85
DeMarre Carroll,SF,31,BRK,52,1540,14.1,0.538,0.478,0.313,5.8,9.7,11.6,10.4,1.4,1,10.8,19.9,1.4,1.4,2.9,0.089,0.2,0.1,0.3,0.9,14800000,15400000,0,0,0,0,30200000,0,0,3,5,105
Isaiah Whitehead,PG,22,BRK,14,175,12,0.537,0.198,0.235,2.4,9.7,7.9,20.3,2.2,0.9,21.2,27.9,-0.2,0.2,-0.1,-0.02,-4,-0.7,-4.7,-0.1,1312611,1544951,1676735,0,0,0,1312611,0,0,1,5,177
Jacob Wiley,PF,23,BRK,5,33,8.2,0.41,0.5,0.5,6.3,9.7,17.6,8.1,1.5,0,0,6.4,0,0,0.1,0.098,-3.8,1.3,-2.6,0,50000,50000,0,0,0,0,10000,0,0,2,1,187
Jahlil Okafor,C,22,BRK,23,298,13.7,0.552,0.026,0.235,5.7,9.7,12.5,6.3,0.5,3.6,11.8,20.8,0.1,0.3,0.4,0.071,-4.4,-0.3,-4.7,-0.2,4995120,0,0,0,0,0,4995120,0,0,2,4,189
James Webb,SF,24,BRK,8,105,2.9,0.35,0.8,0,7,9.7,10.6,5.2,0.5,0,13,9.4,-0.1,0.1,0,-0.016,-4.4,-0.9,-5.2,-0.1,0,0,0,0,0,0,0,0,0,2,1,201
Jarrett Allen,C,19,BRK,48,874,17.7,0.624,0.036,0.332,10.9,9.7,14.7,5.4,1.2,3.4,13.2,16.5,1.8,1,2.7,0.15,-1,1.1,0.2,0.5,1713720,2034120,2376840,3909902,0,0,3747840,0,0,1,4,206
Jeremy Lin,PG,29,BRK,1,25,16.2,0.597,0.167,0.583,0,9.7,0,27.5,0,0,16.6,31.1,0.1,0,0.1,0.097,-2.8,-10.1,-12.9,-0.1,12000000,12516746,0,0,0,0,24516746,0,0,2,6,218
Joe Harris,SG,26,BRK,55,1385,12.9,0.611,0.59,0.158,2.8,9.7,7.2,9.7,0.9,0.7,10.7,16.3,2,0.8,2.8,0.097,1.1,-0.9,0.1,0.7,1524305,0,0,0,0,0,1524305,0,0,2,4,224
Milton Doyle,SG,24,BRK,6,63,4.6,0.342,0.52,0.12,3.3,9.7,7.6,9.5,1.5,1.2,7.1,19.4,-0.2,0,-0.1,-0.081,-6,-1.4,-7.4,-0.1,0,0,0,0,0,0,0,0,0,2,2,343
Nik Stauskas,SG,24,BRK,30,409,8.9,0.553,0.672,0.172,0.8,9.7,6.3,10.3,0.8,0.6,14.4,15.3,0.1,0.2,0.3,0.037,-2,-1.4,-3.5,-0.2,3807146,0,0,0,0,0,3807146,0,0,2,4,357
Quincy Acy,PF,27,BRK,50,1020,7.1,0.502,0.774,0.204,3.4,9.7,10.9,4.9,1.1,1.2,15,14.3,-0.5,0.9,0.5,0.022,-3,-0.1,-3.1,-0.3,1709538,0,0,0,0,0,0,0,0,1,5,379
