Player, POS, Age, Team, G, MP, PER, TS%, 3PAr, FTr, ORB%, DRB%, TRB%, AST%, STL%, BLK%, TOV%, USG%, , OWS, DWS, WS, WS48, , OBPM, DBPM, BPM, VORP
Doug McDermott,SF,26,TOT,57,1227,10,0.556,0.419,0.153,3.2,9.4,6.4,6.7,0.5,0.9,8.7,14.5,0,1.2,0.5,1.7,0.065,0,-0.5,-1.6,-2,0
Dragan Bender,PF,20,PHO,57,1319,7.4,0.537,0.658,0.091,2,15.8,8.8,8.3,0.5,2,17.6,13,0,-0.2,0.4,0.2,0.006,0,-2.3,-0.4,-2.7,-0.2
Draymond Green,PF,27,GSW,49,1597,16.4,0.549,0.408,0.3,4.7,21.1,13.6,28.9,1.8,3.4,21.9,17.6,0,2.1,2.4,4.4,0.133,0,0.7,2.7,3.4,2.2
Dwayne Bacon,SG,22,CHO,35,470,4.5,0.421,0.278,0.122,0.2,21.1,10.4,6.3,0.9,0.4,11.7,12.7,0,-0.6,0.4,-0.1,-0.012,0,-6.2,0,-6.2,-0.5
Dwight Buycks,PG,28,DET,15,234,14.5,0.543,0.221,0.202,2.3,10.3,6.2,24.6,1.7,0.8,16.9,25.8,0,0.1,0.2,0.3,0.06,0,-1.5,-1.6,-3.1,-0.1
Dwight Howard,C,32,CHO,56,1735,19,0.56,0.007,0.673,11.4,33.3,22.1,7.5,1.1,4.5,16.9,23.5,0,1.1,2.9,4,0.111,0,-2.7,2.4,-0.3,0.7
Dwight Powell,C,26,DAL,56,1100,18.5,0.651,0.181,0.397,9.2,20.6,14.7,6.9,2.2,1.8,10.5,15.4,0,2.8,1.4,4.2,0.185,0,0.9,1.5,2.4,1.2
Dwyane Wade,SG,36,TOT,47,1091,15.6,0.516,0.161,0.304,4.1,14.5,9.4,23.7,2,2.7,16,24.3,0,0.2,0.9,1.2,0.051,0,-1.9,0.6,-1.3,0.2
E'Twaun Moore,SG,28,NOP,55,1764,12.2,0.609,0.379,0.089,2.3,6.8,4.6,9.5,1.4,0.4,10.9,16,0,2.1,0.8,2.8,0.077,0,0.7,-1.4,-0.6,0.6
Ed Davis,C,28,POR,57,1074,16.4,0.608,0,0.415,14.6,27.5,21.2,3.9,1.3,3.1,16.1,13,0,2,1.7,3.7,0.167,0,-1.4,1.7,0.3,0.6
Ekpe Udoh,C,30,UTA,48,725,16.5,0.596,0,0.5,9.6,11.1,10.4,9.3,2.7,7.4,9.6,9.1,0,1.6,1.4,2.9,0.195,0,0,6.2,6.2,1.5
Elfrid Payton,PG,23,TOT,45,1292,18.3,0.567,0.142,0.248,4,11.5,7.7,34.8,2.4,1,18.3,21.6,0,1.9,0.9,2.8,0.104,0,1.3,-0.1,1.2,1.1
Emeka Okafor,C,35,NOP,2,29,21.3,0.518,0,0.8,19.7,18.6,19.1,8.8,0,11.4,0,10.2,0,0.1,0,0.1,0.227,0,-0.1,4.7,4.7,0
Emmanuel Mudiay,PG,21,TOT,43,781,12.6,0.501,0.313,0.244,2.3,11.6,6.9,25.6,1.3,0.4,16.6,24.9,0,0,0.4,0.5,0.028,0,-2,-2.6,-4.6,-0.5
Enes Kanter,C,25,NYK,53,1369,23.6,0.642,0.004,0.234,15.7,29.8,22.9,9.8,0.9,1.8,15,22,0,3.9,1.7,5.6,0.196,0,2.4,0.4,2.8,1.6
Eric Bledsoe,PG,28,TOT,47,1439,18.4,0.554,0.361,0.326,2.5,11.3,6.9,23.4,3.4,1.6,15.7,27.2,0,0.9,1.8,2.7,0.088,0,1.2,-0.1,1.1,1.1
Eric Gordon,SG,29,HOU,50,1594,14.8,0.564,0.613,0.265,1.4,7,4.2,12.2,1,1,10.8,25.4,0,1.9,1.1,3,0.091,0,1.1,-2.9,-1.8,0.1
Eric Moreland,PF,26,DET,44,498,11.6,0.5,0,0.276,10.1,25.2,17.5,12.5,1.6,5,24.4,7.7,0,0.4,0.9,1.3,0.121,0,-3.4,5.2,1.8,0.5
Eric McCree,SF,24,UTA,2,3,-14,0,0,0,0,0,0,0,0,0,0,15.1,0,0,0,0,-0.367,0,-16.9,-3.8,-20.7,0
Ersan Ilyasova,PF,30,ATL,45,1148,15.2,0.575,0.422,0.218,7,17.4,12.2,6.7,1.8,1.3,9.2,17.9,0,1.7,0.9,2.6,0.109,0,0.6,-0.5,0.1,0.6
Evan Fournier,SF,25,ORL,47,1520,15.8,0.578,0.399,0.218,1.6,9.2,5.4,14.2,1.3,0.7,10.3,23.4,0,2.1,0.5,2.7,0.084,0,1.7,-2.2,-0.5,0.6
Evan Turner,SF,29,POR,54,1415,9.7,0.515,0.202,0.182,1.7,12.2,7,12.1,1.2,1,14.6,15.8,0,0.1,1.3,1.4,0.047,0,-2.7,0.5,-2.2,-0.1
Frank Jackson,SG,19,NOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frank Kaminsky,PF,24,CHO,53,1240,13.3,0.518,0.389,0.241,2.8,14.7,8.6,10.4,1.1,1,7.5,20.6,0,0.9,1.1,2,0.077,0,-0.5,-0.9,-1.4,0.2
Frank Mason,PG,23,SAC,29,539,12.3,0.483,0.215,0.315,2.7,10.9,6.6,23.7,1.4,0.7,14.3,22.1,0,0,0.1,0.1,0.01,0,-2.3,-2.5,-4.8,-0.4
Frank Ntilikina,PG,19,NYK,54,1093,6.6,0.43,0.309,0.15,1.9,9.5,5.7,22.4,2.3,0.8,23,17.5,0,-1.7,1,-0.7,-0.03,0,-4,-0.1,-4.2,-0.6
Fred VanVleet,PG,23,TOR,52,973,16,0.557,0.445,0.173,1.8,12.3,7.1,23,2.3,0.8,11.2,18.7,0,1.8,1.3,3.2,0.156,0,1.8,0.2,2,1
Furkan Korkmaz,SG,20,PHI,6,32,4.3,0.349,0.667,0.167,7,13.1,10.2,8.6,1.5,0,7.2,18.6,0,0,0,0,-0.02,0,-4.4,-2.4,-6.7,0
Garrett Temple,SG,31,SAC,51,1272,9.8,0.514,0.467,0.165,1.6,9.8,5.5,11.3,1.9,1.7,13.5,16.7,0,-0.1,0.6,0.4,0.016,0,-1.6,-0.8,-2.4,-0.1
Gary Harris,SG,23,DEN,52,1808,16.9,0.599,0.451,0.178,2,7,4.5,14.1,2.6,0.6,11.4,20.4,0,3.3,1.4,4.7,0.125,0,2.7,-1.1,1.6,1.7
Gary Payton,PG,25,TOT,15,128,8.3,0.416,0.333,0.071,5.4,13.7,9.5,14.8,1.2,1.9,6.5,16.3,0,0,0.1,0.1,0.027,0,-3.3,-1.2,-4.6,-0.1
George Hill,PG,31,TOT,44,1164,14,0.597,0.395,0.308,2.1,10.1,5.9,15.4,1.7,1,14.2,17,0,1.6,0.4,2,0.083,0,0.6,-1.4,-0.8,0.4
Georges Niang,PF,24,UTA,2,2,27.1,0,0,0,0,0,0,0,25.2,0,0,0,0,0,0,0,0.328,0,2.9,23.4,26.4,0
Georgios Papagiannis,C,20,SAC,16,118,10.8,0.415,0,0,11.2,24.3,17.5,11.6,0.9,4.8,16.3,18.6,0,-0.2,0.1,-0.1,-0.024,0,-6.1,1.1,-5,-0.1
Gerald Green,SG,32,HOU,19,470,15,0.592,0.712,0.19,1.7,11.8,6.8,3,1.1,1.6,5.9,22,0,0.8,0.4,1.2,0.123,0,1.2,-3,-1.9,0
Gian Clavell,SG,24,DAL,7,64,7.5,0.53,0.833,0.111,1.7,10.9,6.1,6.8,1.6,0,9.6,14.9,0,0,0,0.1,0.044,0,-1.5,-1.9,-3.4,0
Giannis Antetokounmpo,PF,23,MIL,51,1888,28.9,0.606,0.09,0.483,6.9,26,16.5,24,2,3,10.9,32,0,6.6,2.7,9.3,0.235,0,4.8,2,6.8,4.2
Glenn Robinson,SF,23,IND,69,1427,11.5,0.564,0.37,0.225,4.5,14.7,9.7,4.7,1.4,1.2,9.1,12.8,,1.3,1.2,2.5,0.085,,-1.2,-0.2,-1.3,0.2
Goran Dragic,PG,31,MIA,51,1623,16,0.527,0.284,0.257,2.5,12,7.2,25.9,1.4,0.6,12.4,26.5,0,1.4,1.6,3,0.088,0,0.6,-0.9,-0.3,0.7
Gordon Hayward,SF,27,BOS,1,5,7.4,0.5,0.5,0,0,21.4,10.9,0,0,0,0,17.9,0,0,0,0,0.061,0,-5.9,-5.9,-11.8,0
Gorgui Dieng,C,28,MIN,56,987,15.6,0.556,0.158,0.289,8.4,21.6,14.9,8,2,2.4,12.1,16.8,0,1.3,1.1,2.4,0.117,0,-0.6,0.7,0.1,0.5
Greg Monroe,C,27,TOT,28,586,19.5,0.602,0,0.285,11.4,26.2,18.7,16.9,1.6,1,17.6,20.1,0,1,0.5,1.5,0.123,0,0.1,0.8,0.9,0.4
Guerschon Yabusele,PF,22,BOS,22,110,12,0.542,0.688,0.281,12.1,18.5,15.4,8.2,0.5,0.8,14.3,17.1,0,0.1,0.2,0.3,0.118,0,-0.5,-1,-1.5,0
Harrison Barnes,PF,25,DAL,55,1898,15.9,0.54,0.26,0.254,3.4,18.5,10.7,9.3,1,0.6,8.1,24.4,0,1.5,1.4,3,0.075,0,-0.8,-1.1,-1.9,0.1
Harry Giles,PF,19,SAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hassan Whiteside,C,28,MIA,37,952,24.4,0.581,0.005,0.294,14.3,39.1,26.7,5.9,1.3,5.5,12.7,24.7,0,1.6,2.1,3.7,0.186,0,-2.4,1.8,-0.6,0.3
Henry Ellenson,PF,21,DET,21,141,6.5,0.413,0.406,0.047,3.9,26.9,15.1,8.6,1.1,0,12.1,23.4,0,-0.3,0.2,-0.2,-0.06,0,-6.8,-2.2,-9,-0.2
Ian Clark,SG,26,NOP,49,830,8.2,0.51,0.447,0.139,1,8.8,5,10.1,1,0.7,10.7,16.7,0,-0.1,0.3,0.2,0.013,0,-2.7,-2.3,-5,-0.6
Ian Mahinmi,C,31,WAS,54,788,11.8,0.632,0.007,0.597,12.3,16.5,14.4,6.5,1.6,3.1,25.7,13.6,0,0.8,1,1.8,0.111,0,-1.8,1.9,0.1,0.4
Ike Anigbogu,C,19,IND,10,28,23.2,0.558,0,0.667,20.7,16,18.3,0,1.8,9.4,14.7,21.8,0,0.1,0,0.1,0.173,0,-3.9,-1.7,-5.6,0
Iman Shumpert,SG,27,CLE,14,276,6.4,0.48,0.448,0.259,2.9,13.6,8.3,8.3,1.6,1.6,20.8,13.2,0,-0.2,0.2,-0.1,-0.013,0,-4.1,0.1,-4,-0.1
Isaiah Canaan,PG,26,TOT,20,422,13.7,0.539,0.482,0.372,1.5,10.2,5.8,26.8,1.8,0.2,15.4,19,0,0.5,0.1,0.7,0.075,0,0.4,-2.5,-2.1,0
Isaiah Hicks,PF,23,NYK,1,17,2,0.425,0.2,0.4,0,0,0,0,0,0,0,15.2,0,0,0,0,-0.038,0,-5.5,-4.8,-10.3,0
Isaiah Taylor,PG,23,ATL,42,593,10.3,0.481,0.228,0.351,2.3,8.6,5.4,22.6,1.5,1.3,14.3,17.1,0,0.1,0.3,0.4,0.033,0,-3,-1.7,-4.8,-0.4
Isaiah Thomas,PG,28,TOT,16,437,12.8,0.511,0.461,0.35,1.8,6.3,4.1,26.1,1.1,0.4,16.5,28.9,0,-0.1,0.1,0,0,0,-1.2,-4.5,-5.7,-0.4
Isaiah Whitehead,PG,22,BRK,14,175,12,0.537,0.198,0.235,2.4,13.4,7.9,20.3,2.2,0.9,21.2,27.9,0,-0.2,0.2,-0.1,-0.02,0,-4,-0.7,-4.7,-0.1
Ish Smith,PG,29,DET,55,1335,14.9,0.5,0.079,0.149,1.6,11.1,6.3,29.4,1.5,0.9,10.8,21.5,0,1.2,1.2,2.4,0.087,0,-1.3,-0.7,-2,0
Ivan Rabb,PF,20,MEM,16,177,20.2,0.688,0,0.204,13.7,22.6,18.1,11.3,0.6,2.1,19.2,18.7,0,0.4,0.2,0.6,0.159,0,0.3,-0.4,-0.2,0.1
Ivica Zubac,C,20,LAL,16,67,4.5,0.426,0,0.143,6.3,17.5,11.9,4.1,0,2.4,18.3,17.2,0,-0.1,0.1,-0.1,-0.048,0,-8.9,-1.5,-10.4,-0.1
J.J. Barea,PG,33,DAL,52,1199,17,0.528,0.454,0.181,0.8,14.3,7.3,42.9,1.1,0.2,15.5,24.7,0,1.4,0.8,2.2,0.088,0,1.8,-2.1,-0.3,0.5
J.J. Redick,SG,33,PHI,42,1342,15.3,0.604,0.52,0.244,0.5,8.3,4.6,15.7,0.9,0.3,9.1,20.7,0,3,1,4.1,0.145,0,2.5,-2.4,0.1,0.7
J.R. Smith,SG,32,CLE,54,1605,8.4,0.531,0.694,0.089,1.6,9.6,5.7,9.1,1.5,0.4,10.6,13.1,0,0.5,0.6,1.1,0.034,0,-0.3,-0.9,-1.2,0.3
Jabari Bird,SG,23,BOS,4,22,6,0.403,0.5,1.25,0,9.7,5,6.2,2.3,0,0,12.6,0,0,0,0,0.061,0,-4.6,0,-4.6,0
Jabari Parker,PF,21,MIL,51,1728,19.1,0.563,0.219,0.268,5.4,15.7,10.6,14.3,1.5,1.1,9.3,26.5,,2.6,1.5,4,0.112,,1.5,-1.3,0.2,1
Jack Cooley,PF,26,SAC,1,2,48.6,0.532,0,2,0,59.8,28.7,62.4,0,0,0,42.1,0,0,0,0,0.528,0,12.4,5.5,17.9,0
Jacob Pullen,PG,28,PHI,3,6,-2.2,0.5,0.5,0,0,0,0,0,0,0,33.3,21.4,0,0,0,0,-0.216,0,-10.4,-4.9,-15.4,0
Jacob Wiley,PF,23,BRK,5,33,8.2,0.41,0.5,0.5,6.3,29.2,17.6,8.1,1.5,0,0,6.4,0,0,0,0.1,0.098,0,-3.8,1.3,-2.6,0
Jae Crowder,SF,27,TOT,54,1375,10.3,0.547,0.506,0.243,3.4,11,7.3,6.3,1.5,0.7,9.5,15.3,0,1,0.6,1.6,0.057,0,-0.6,-1.2,-1.9,0.1
Jahlil Okafor,C,22,TOT,23,298,13.7,0.552,0.026,0.235,5.7,19.3,12.5,6.3,0.5,3.6,11.8,20.8,0,0.1,0.3,0.4,0.071,0,-4.4,-0.3,-4.7,-0.2
JaKarr Sampson,SF,24,SAC,11,157,15.1,0.664,0.139,0.056,7.7,22.9,15,4.8,1,4.2,7.5,11.4,0,0.4,0.1,0.5,0.146,0,-1,0.5,-0.5,0.1
Jake Layman,SF,23,POR,26,144,4.6,0.346,0.429,0.071,3.1,7.5,5.3,8.6,2.1,1.7,8.5,14.5,0,-0.2,0.2,-0.1,-0.026,0,-5.1,0.1,-5,-0.1
Jakob Poeltl,C,22,TOR,55,993,17.1,0.642,0.008,0.281,13.3,15.7,14.5,4.3,0.9,5.3,14.9,15,0,2.1,1.5,3.6,0.174,0,0.3,2.2,2.5,1.1
Jalen Jones,SF,24,TOT,8,52,8.8,0.526,0.308,0.385,2.1,28.6,15.1,2.9,1,0,11.6,14.9,0,0,0,0,0.041,0,-6.3,-2.6,-8.9,-0.1
Jamal Crawford,SG,37,MIN,57,1079,14.8,0.534,0.416,0.176,1.1,6,3.5,18.6,1.4,0.6,10.3,24.3,0,1.2,0.3,1.5,0.067,0,0.7,-4,-3.3,-0.4
Jamal Murray,PG,20,DEN,55,1656,16.1,0.575,0.397,0.218,3.7,9.4,6.5,15.5,1.4,0.8,12.9,23.5,0,2.6,0.9,3.5,0.103,0,1.6,-2.1,-0.5,0.6
Jameer Nelson,PG,35,TOT,44,916,9,0.517,0.528,0.08,1.5,10.1,5.9,23.3,1.2,0.3,20.6,13.2,0,0.3,0.4,0.8,0.04,0,-2,-1.8,-3.8,-0.4
Jamel Artis,SG,25,ORL,5,55,0.8,0.246,0.294,0.176,2,12.2,7.1,9.7,0,0,0,14.6,0,-0.1,0,-0.1,-0.13,0,-8.1,-3.1,-11.2,-0.1
James Ennis,SF,27,TOT,46,1076,12.5,0.616,0.376,0.336,5.9,11.6,8.7,7.2,1.6,1,12.6,12.7,0,1.7,0.8,2.5,0.11,0,0,0,0.1,0.6
James Harden,SG,28,HOU,48,1718,30.3,0.621,0.512,0.476,1.7,14.2,7.9,45.1,2.4,1.7,14.5,36.1,0,8.3,2.3,10.6,0.296,0,10,0.6,10.6,5.5
James Johnson,PF,30,MIA,48,1282,13.9,0.548,0.326,0.246,3.6,17.1,10.3,23.2,1.7,1.9,18.9,19.3,0,0.7,1.7,2.4,0.091,0,-0.9,1.6,0.7,0.9
James Michael,PF,25,PHI,3,18,7.6,0.508,1,0.286,0,11.6,6,0,0,4.7,11.3,21.1,0,0,0,0,0.02,0,-4.2,-4.6,-8.8,0
James Webb,SF,24,BRK,8,105,2.9,0.35,0.8,0,7,14.3,10.6,5.2,0.5,0,13,9.4,0,-0.1,0.1,0,-0.016,0,-4.4,-0.9,-5.2,-0.1
James Young,SG,22,PHI,5,52,6.1,0.512,0.833,0.5,0,4,2.1,5.2,0,0,0,12.1,0,0.1,0,0.1,0.067,0,-1.7,-4,-5.7,0
Jamil Wilson,SF,27,LAC,15,274,11.5,0.634,0.778,0.049,1.2,11.4,6.4,5.4,0.9,2.5,8.8,14.4,0,0.4,0.2,0.6,0.103,0,0.9,-0.8,0.1,0.1
JaMychal Green,PF,27,MEM,35,933,14.3,0.535,0.274,0.234,11.4,21.8,16.6,7.6,1.2,1.1,12.5,18.3,0,0.9,0.9,1.8,0.092,0,-0.8,-0.5,-1.3,0.2
Jared Dudley,PF,32,PHO,30,428,9.4,0.53,0.662,0.26,1.7,11.9,6.7,18.2,1.8,0.8,14,9.9,0,0.4,0.2,0.6,0.07,0,-1.1,-0.6,-1.8,0
Jarell Eddie,SF,26,BOS,2,6,4,0,1,0,0,17.9,9.1,0,8.3,0,0,7.5,0,0,0,0,-0.022,0,-8.7,5.3,-3.4,0
Jarell Martin,PF,23,MEM,52,1035,10.2,0.512,0.183,0.214,7.5,14.7,11,4.9,1.4,3.2,13.6,16.1,0,0.1,1,1.1,0.05,0,-3.4,0.4,-3,-0.3
Jarrett Allen,C,19,BRK,48,874,17.7,0.624,0.036,0.332,10.9,18.6,14.7,5.4,1.2,3.4,13.2,16.5,0,1.8,1,2.7,0.15,0,-1,1.1,0.2,0.5
Jarrett Jack,PG,34,NYK,55,1430,11.4,0.483,0.193,0.158,1.6,12,6.9,32.4,1.2,0.2,19.8,16.6,0,0.4,0.9,1.3,0.043,0,-1.8,-1.3,-3,-0.4
Jason Smith,C,31,WAS,23,216,6.7,0.407,0.256,0.198,8.3,11.9,10.1,8.1,0.7,4.1,11.4,21.4,0,-0.3,0.2,-0.1,-0.024,0,-5.5,-0.6,-6.1,-0.2
Jason Terry,SG,40,MIL,24,265,7.2,0.54,0.686,0.039,0.4,8,4.3,8.8,2.3,1.3,17.5,10.9,0,0,0.2,0.2,0.032,0,-2.6,-0.6,-3.2,-0.1
JaVale McGee,C,30,GSW,40,318,22.1,0.661,0.056,0.306,11.1,15.3,13.4,7.8,1.5,7.9,11.6,19,0,0.9,0.5,1.4,0.214,0,0.8,2.1,2.9,0.4
Jawun Evans,PG,21,LAC,38,701,7.2,0.412,0.205,0.197,1.3,10.6,6,18.6,2.4,0.7,13.9,18.7,0,-0.9,0.7,-0.2,-0.014,0,-4.7,-0.1,-4.8,-0.5
Jaylen Brown,SF,21,BOS,53,1669,12.7,0.549,0.403,0.277,3.3,15,9.3,8.1,1.6,1,11.9,20.7,0,0.5,2.7,3.2,0.093,0,-1.1,0.8,-0.2,0.7
Jayson Tatum,SF,19,BOS,58,1796,15,0.593,0.301,0.332,2.5,15.4,9.1,7.2,1.5,2.1,10.5,18.5,0,2.4,3.1,5.5,0.147,0,-0.6,1.7,1.1,1.4
Jeff Green,PF,31,CLE,55,1227,16,0.597,0.233,0.405,4.6,12.2,8.5,9,1.1,1.4,9.7,19.9,0,2.5,0.5,3,0.117,0,0,-1.7,-1.7,0.1
Jeff Teague,PG,29,MIN,48,1583,14.6,0.531,0.286,0.263,1.4,8.7,5,30.3,2.3,0.9,18.5,19.7,0,1.4,1,2.5,0.074,0,0.4,-1.2,-0.8,0.5
Jeff Withey,C,27,DAL,10,39,8.5,0.444,0.625,0.125,2.8,26.8,14.4,0,0,7,10.6,22.1,0,-0.1,0.1,0,-0.053,0,-9,-3.6,-12.6,-0.1
Jerami Grant,PF,23,OKC,56,1157,14.5,0.577,0.24,0.474,6.1,16.3,11,5.4,0.9,4,10,15.6,0,1.8,1.4,3.3,0.135,0,-1.5,0.5,-1.1,0.3
Jeremy Lamb,SG,25,CHO,55,1368,17.4,0.546,0.293,0.27,3,16.5,9.6,14.8,1.6,1.4,8.7,23.4,0,2,1.5,3.5,0.121,0,0.9,0,0.9,1
Jeremy Lin,PG,29,BRK,1,25,16.2,0.597,0.167,0.583,0,0,0,27.5,0,0,16.6,31.1,0,0.1,0,0.1,0.097,0,-2.8,-10.1,-12.9,-0.1
Jerian Grant,PG,25,CHI,55,1285,14.6,0.539,0.372,0.383,2.1,10.3,6.1,31.3,1.6,0.3,14,17.1,0,2.1,0.8,2.9,0.107,0,0.1,-1.7,-1.5,0.1
Jerryd Bayless,SG,29,PHI,39,925,7.7,0.546,0.557,0.168,1.8,7.3,4.7,8.3,1.2,0.5,14.1,15.2,0,0.2,0.8,1,0.051,0,-1.6,-1.1,-2.8,-0.2
Jimmy Butler,SG,28,MIN,53,1974,24.1,0.597,0.216,0.45,4.1,12.9,8.5,20.8,2.7,0.9,9.3,24.8,0,6.8,1.7,8.5,0.208,0,5.1,0.1,5.2,3.6
Joakim Noah,C,32,NYK,7,40,15.8,0.51,0,0.4,17.1,22,19.6,14.3,2.5,4.4,25.4,17.3,0,0,0.1,0.1,0.082,0,-2.1,3.7,1.7,0
Jodie Meeks,SG,30,WAS,53,789,11.1,0.521,0.544,0.299,1.7,10.5,6.1,8.7,1.3,0.3,8.3,18.8,0,0.5,0.6,1.1,0.067,0,-1.1,-2.3,-3.4,-0.3
Joe Harris,SG,26,BRK,55,1385,12.9,0.611,0.59,0.158,2.8,11.7,7.2,9.7,0.9,0.7,10.7,16.3,0,2,0.8,2.8,0.097,0,1.1,-0.9,0.1,0.7
Joe Ingles,SF,30,UTA,56,1706,13.8,0.633,0.673,0.072,1.1,14.1,7.6,20.1,1.7,0.5,17.8,15.2,0,2.4,1.8,4.2,0.119,0,1.9,0.4,2.3,1.9
Joe Johnson,SF,36,UTA,32,700,9.2,0.492,0.372,0.106,2,15.6,8.8,9.8,0.9,0.7,11.6,17.3,0,-0.2,0.6,0.4,0.026,0,-3.1,-0.5,-3.7,-0.3
Joe Young,PG,25,IND,40,403,11,0.561,0.364,0.194,1.7,9.2,5.5,8.1,1,0.2,10.3,17.3,0,0.3,0.2,0.5,0.059,0,-1.6,-3,-4.7,-0.3
Joel Bolomboy,PF,24,MIL,6,38,11.9,0.521,0.167,1,18.8,12.5,15.6,0,2.6,0,18.8,12.8,0,0,0,0.1,0.087,0,-3.2,-4.3,-7.5,-0.1
Joel Embiid,C,23,PHI,43,1357,23.2,0.578,0.194,0.452,8.1,29.7,19.3,18,1,4.9,16.3,33.4,0,1.7,2.6,4.3,0.152,0,0.3,2.5,2.7,1.6
Joffrey Lauvergne,C,26,SAS,36,363,13.4,0.507,0.043,0.276,12.2,20.8,16.5,12.7,1,0.2,16.7,19.3,0,0.1,0.5,0.6,0.085,0,-2.7,0.1,-2.6,-0.1
John Collins,PF,20,ATL,51,1130,20,0.625,0.047,0.349,13.7,22.3,18,7.6,1.4,4.3,13.9,19,0,2.6,1.2,3.8,0.163,0,0.4,1.3,1.8,1.1
John Henson,C,27,MIL,52,1317,16.4,0.599,0.012,0.356,9.5,22.7,16.1,8.6,1,4.9,14.2,15.7,0,2,1.7,3.7,0.134,0,-1.3,2,0.7,0.9
John Holland,SF,29,CLE,6,35,0.9,0.333,0.778,0,0,9.4,4.8,0,2.8,0,10,12.7,0,-0.1,0,-0.1,-0.096,0,-6.8,-2.7,-9.5,-0.1
John Wall,PG,27,WAS,37,1269,19.2,0.511,0.245,0.366,1.8,9.9,5.8,43,1.9,2.9,15.9,28.8,0,1.2,1.4,2.6,0.097,0,1.5,0,1.5,1.1
Johnathan Motley,PF,22,DAL,3,8,45.6,0.528,0,1.6,0,72.7,35.1,30.4,0,22.8,0,48.6,0,0,0,0,0.295,0,1.1,14.3,15.4,0
Johnny O'Bryant,PF,24,CHO,36,379,12,0.47,0.251,0.146,8.1,19.1,13.5,6,1,1.3,7.6,22.5,0,0,0.4,0.3,0.043,0,-3.3,-2,-5.3,-0.3
Jon Leuer,PF,28,DET,8,136,9,0.505,0.083,0.417,5.6,21.1,13.2,5.2,0.4,1.9,14.1,16.2,0,0,0.1,0.1,0.05,0,-5.5,-0.5,-6,-0.1
Jonas Jerebko,PF,30,UTA,48,784,13.3,0.589,0.419,0.167,5.7,17.4,11.6,6.4,1.3,0.9,7.2,15.2,0,1.3,0.9,2.2,0.134,0,0.1,-0.4,-0.3,0.3
Jonas Valanciunas,C,25,TOR,51,1111,22.1,0.628,0.095,0.309,12.2,30.6,21.6,7.1,0.9,2.7,12.8,22.1,0,3.1,1.9,5,0.216,0,0.7,0.6,1.3,0.9
Jonathan Isaac,PF,20,ORL,15,285,9.6,0.482,0.243,0.243,4.6,17.2,10.9,5.4,1.7,4.1,15.5,14.9,0,-0.2,0.3,0.1,0.018,0,-4.6,1.6,-3.1,-0.1
Jonathon Simmons,SG,28,ORL,54,1559,12.9,0.553,0.261,0.287,3.3,9.8,6.5,12.3,1.3,0.8,13.8,22.2,0,0.8,0.6,1.3,0.041,0,-0.9,-1.6,-2.5,-0.2
Jordan Bell,C,23,GSW,38,546,19.4,0.673,0.023,0.229,10.3,19.5,15.3,16.8,2.3,5.7,20.9,14.6,0,1.2,1,2.2,0.193,0,1.1,3.9,5,1
Jordan Clarkson,SG,25,TOT,54,1279,17.4,0.535,0.316,0.195,3.6,9.9,6.7,22.6,1.5,0.2,11.4,27.4,0,1.3,1,2.3,0.087,0,1.3,-2.2,-0.9,0.3
Jordan Crawford,SG,29,NOP,2,37,15.9,0.643,0.357,0,6.2,2.9,4.5,36.7,0,2.2,22.2,21.3,0,0.1,0,0.1,0.122,0,1.3,-5,-3.7,0
Jordan Mickey,PF,23,MIA,17,236,10.3,0.513,0.164,0.239,6.8,28,17.4,5.9,0.6,2.9,16.8,17.1,0,-0.1,0.3,0.3,0.051,0,-5.8,0.5,-5.3,-0.2
Jose Calderon,PG,36,CLE,39,610,10.3,0.64,0.545,0.164,1.5,8.5,5.1,17,1.6,0,18.1,10.5,0,0.9,0.2,1.1,0.085,0,-0.3,-1.8,-2.1,0
Josh Gray,PG,24,PHO,4,70,13,0.398,0.333,0.3,3,12.6,7.7,25.7,5.5,2.3,12.8,23.7,0,-0.1,0.1,0,-0.001,0,-2.5,2.2,-0.3,0
Josh Hart,SG,22,LAL,50,1028,11,0.586,0.551,0.233,2.7,15.8,9.2,7.4,1.6,0.9,10.3,11.9,0,1.1,1.1,2.2,0.102,0,-0.9,0.4,-0.5,0.4
Josh Huestis,PF,26,OKC,51,745,5.4,0.416,0.634,0.112,4.8,14,9.3,2.5,0.9,4.3,13.5,9.4,0,-0.4,0.9,0.4,0.028,0,-4.7,1.1,-3.6,-0.3
Josh Jackson,SF,20,PHO,55,1274,10.2,0.469,0.27,0.292,5.1,14,9.5,8.4,1.8,1.6,12.8,24.8,0,-1.6,0.7,-0.9,-0.033,0,-3.7,-1.4,-5.1,-1
Josh Magette,PG,28,ATL,9,69,17,0.631,0.429,0.429,1.7,8.4,5,36.8,1.4,0,10.7,11.9,0,0.3,0,0.3,0.2,0,1.1,-4.5,-3.4,0
Josh McRoberts,PF,30,DAL,2,6,-12.6,0,1,0,0,0,0,0,0,0,0,7.6,0,0,0,0,-0.191,0,-9.6,-2.4,-12,0
