Player, POS, Age, Team, G, MP, PER, TS%, 3PAr, FTr, ORB%, DRB%, TRB%, AST%, STL%, BLK%, TOV%, USG%, , OWS, DWS, WS, WS48, , OBPM, DBPM, BPM, VORP
Antonius Cleveland,SG,23,DAL,13,81,5.1,0.317,0.071,0.286,2.7,11.5,6.9,3.3,3.7,4.5,11.3,10,0,-0.1,0.1,0,-0.004,0,-7.4,4.5,-2.9,0
Aron Baynes,C,31,BOS,58,1054,11.2,0.494,0.03,0.212,9,22.6,15.9,7.7,0.8,2.8,14.1,16.3,0,0.1,1.9,2,0.093,0,-4.6,2.2,-2.4,-0.1
Arron Afflalo,SG,32,ORL,41,522,4.7,0.477,0.4,0.167,0.6,11.5,6.1,5.7,0.2,1,10.4,12,0,-0.2,0.1,-0.1,-0.012,0,-4.5,-1.8,-6.3,-0.6
Austin Rivers,SG,25,LAC,34,1113,12.9,0.526,0.458,0.198,1.5,5.8,3.7,17.5,1.8,0.7,10.9,22.1,0,0.7,0.7,1.4,0.061,0,0.7,-1.8,-1,0.3
Avery Bradley,SG,27,TOT,44,1383,9.7,0.495,0.332,0.132,1.7,7.6,4.6,10.4,1.8,0.5,13.4,23.7,0,-1.4,1.2,-0.2,-0.007,0,-2.8,-1.4,-4.2,-0.8
Bam Adebayo,C,20,MIA,47,966,17.3,0.604,0.026,0.546,9.3,20.6,14.9,12.3,1.4,2.8,13.4,15.4,0,2.1,1.4,3.5,0.175,0,-0.5,2.4,1.8,0.9
Ben McLemore,SG,24,MEM,33,554,8.3,0.498,0.444,0.158,2.9,9.8,6.3,8,1.8,1.2,12.9,19.7,0,-0.3,0.4,0.1,0.01,0,-2.9,-1.6,-4.5,-0.4
Ben Moore,PF,22,IND,2,9,-2.3,0,0,0,0,12.4,6.3,13,0,0,0,0,0,0,0,0,0.068,0,-5,0,-4.9,0
Ben Simmons,PG,21,PHI,52,1816,18.3,0.54,0.014,0.336,5.7,17.8,12,33.6,2.5,2.1,19.6,23.2,0,1.6,3,4.6,0.121,0,0,3.2,3.2,2.4
Bismack Biyombo,C,25,ORL,55,1059,13.8,0.571,0.004,0.48,10.3,23.8,17,4.9,0.7,5.5,18.2,13.9,0,0.9,1.1,2,0.09,0,-3.5,2.1,-1.4,0.2
Blake Griffin,PF,28,TOT,39,1343,20.7,0.546,0.327,0.369,4.6,20.5,12.6,27.1,1.2,0.8,12,29.5,0,2.5,1.4,3.8,0.137,0,3.2,0.1,3.4,1.9
